,QuestionID,Question,GivenAnswer,Model,Program,Output,ExactMatch,Failed,Time(s),PromptTokens,CompletionTokens,RawPrompt,RawResponse,Exception
0,0,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,llama2,DSPy,,False,True,0,0,0,,[],python: can't open file '/home/jayanaka-98/Repos/mtllm-evaluation/tested_code/gsm8k/dspy_llama_single_trial.py': [Errno 2] No such file or directory
1,0,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,llama2,Jac,,False,True,0,0,0,,[],FileNotFoundError: [Errno 2] No such file or directory: '/home/jayanaka-98/Repos/mtllm-evaluation/tested_code/jac_llama_impl.jac'
2,0,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,llama3,DSPy,,False,True,0,0,0,,[],python: can't open file '/home/jayanaka-98/Repos/mtllm-evaluation/tested_code/gsm8k/dspy_llama_single_trial.py': [Errno 2] No such file or directory
3,0,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,llama3,Jac,,False,True,0,0,0,,[],FileNotFoundError: [Errno 2] No such file or directory: '/home/jayanaka-98/Repos/mtllm-evaluation/tested_code/jac_llama_impl.jac'
4,0,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,llama3.1,DSPy,,False,True,0,0,0,,[],python: can't open file '/home/jayanaka-98/Repos/mtllm-evaluation/tested_code/gsm8k/dspy_llama_single_trial.py': [Errno 2] No such file or directory
5,0,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,llama3.1,Jac,,False,True,0,0,0,,[],FileNotFoundError: [Errno 2] No such file or directory: '/home/jayanaka-98/Repos/mtllm-evaluation/tested_code/jac_llama_impl.jac'
6,1,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",10,llama2,DSPy,,False,True,0,0,0,,[],python: can't open file '/home/jayanaka-98/Repos/mtllm-evaluation/tested_code/gsm8k/dspy_llama_single_trial.py': [Errno 2] No such file or directory
7,1,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",10,llama2,Jac,,False,True,0,0,0,,[],FileNotFoundError: [Errno 2] No such file or directory: '/home/jayanaka-98/Repos/mtllm-evaluation/tested_code/jac_llama_impl.jac'
8,1,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",10,llama3,DSPy,,False,True,0,0,0,,[],python: can't open file '/home/jayanaka-98/Repos/mtllm-evaluation/tested_code/gsm8k/dspy_llama_single_trial.py': [Errno 2] No such file or directory
9,1,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",10,llama3,Jac,,False,True,0,0,0,,[],FileNotFoundError: [Errno 2] No such file or directory: '/home/jayanaka-98/Repos/mtllm-evaluation/tested_code/jac_llama_impl.jac'
